transaction_description,transaction_amount,transaction_account_type
PAYW TARGETC 6408 CLIFTON BCH 30/01/20 Card Purchase,-24,transaction
PAYW WOOLWORTHS 1056 NARRABEEN 04/07/19 Card Purchase,-30.7,transaction
PENRITH MAZDA CENTRE JAMISONTOWN EFTPOS Purchase - Receipt 83567 Date 18 Apr 2019 Time 11:50AM Card xxxxxxxxxxxx3306,-342,transaction
PENRITH PANTHERS STA Visa Purchase - Receipt 190866 In PENRITH Date 17 Mar 2019 Card xxxxxxxxxxxx7915,-33.5,transaction
PENRITH RASHAYS Visa Purchase - Receipt 180210 In PENRITH Date 31 Jan 2019 Card xxxxxxxxxxxx7915,-53,transaction
PHARMPRO QLD PTY LTD Visa Purchase - Receipt 149514 In FLINDERS VIE Date 17 Jan 2019 Card xxxxxxxxxxxx1337,-3.99,savings
POS #001731-KMART 1111 TRARALGON AU,-23.15,transaction
POS #002339-COLES 5588 KIRRAWEE AU,-13.3,transaction
POS #183707 - COLES 4964 ADELAIDE AU 0861,-22.3,transaction
POS Including Cash Out#063537-WOOLWORTHS 3208\MORWELL VIC AU,-53.6,transaction
POS purchase005193/0129165258 CALTEX STARMART GOODNA AU,-30,savings
POS purchase006297/0315161447 BIG W 0266 CAPALABA AU,-80.25,savings
POS purchase006538/0121160816 BP EXPRESS 7048 MT WARREN PK AU,-25.02,savings
POS purchase006595/0619112812 PLINE PH CABOOLTURE 0457 CABOOLTURE,-11.99,savings
POS purchase007249/0603093340 BP KENNEDY DRIVE 460TWEED HEADS AU,-40,savings
POS#092421-COLES EXPRESS 6956 MEEKATHARRA AU,-3,transaction
POS#103685-WOOLWORTHS 4330\HARVEST LAKE WA AU,-21.3,transaction
POS#107570-COLES EXPRESS 1927 DEERAGUN AU,-29.54,transaction
POST BEAUDESERT-RET BE Visa Purchase - Receipt 137228 In BEAUDESERT Date 26 Jun 2019 Card xxxxxxxxxxxx5999,-8.55,transaction
POST Booval Fair Bo Visa Purchase - Receipt 138165 In BOOVAL Date 24 Jan 2019 Card xxxxxxxxxxxx1337,-61.3,savings
POST BRIGHT LPO BR IGHT V EFTPOS Purchase - Receipt 3538 Date 14 Jan 2019 Time 10:45AM Card xxxxxxxxxxxx9172,-22.35,transaction
POST GLENMORE PARK LGL Visa Purchase - Receipt 106834 In GLENMORE PAR Date 29 Mar 2019 Card xxxxxxxxxxxx8240,-38.3,transaction
Postmart Plus Visa Purchase - Receipt 160655 In Melbourne Date 20 Dec 2018 Card xxxxxxxxxxxx9809,-6,transaction
PP*FARDONATION Visa Purchase - Receipt 124350 In ALBANY CREEK Date 08 Sep 2019 Card xxxxxxxxxxxx1337,-10,savings
PP*KING Visa Purchase - Receipt 114192 In BUFF POINT Date 11 Nov 2018 Card xxxxxxxxxxxx4237,-10.5,transaction
PRICELINE PHRMCY GTWY BEELIAR AUS Card xx8940 Value Date: 06/04/2019,-30.92,transaction
PROFESSIONAIL WESTFIEL Visa Purchase - Receipt 174367 In SYDNEY Date 28 Dec 2018 Card xxxxxxxxxxxx9344,-70,transaction
PROVENDER HOLDINGS AUS Visa Purchase - Receipt 109318 In WATERLOO Date 28 Mar 2019 Card xxxxxxxxxxxx7857,-4.4,savings
PUMA CITISWICH Visa Purchase - Receipt 147711 In BUNDAMBA Date 01 Oct 2018 Card xxxxxxxxxxxx2812,-42.53,savings
Purchase at BP 2GO WANAKA - NZD 89.68,-84.43,transaction
Q SUPERCENTRE AMCAL Visa Purchase - Receipt 172993 In MERMAID WATE Date 06 Jan 2019 Card xxxxxxxxxxxx9315,-13.99,transaction
QAL FINANCE PTY LTD Visa Purchase - Receipt 102135 In BILINGA Date 01 Feb 2019 Card xxxxxxxxxxxx9344,-25,transaction
QANTAS AIRWA0812493248089 Visa Purchase - Receipt 175781 In MASCOT Date 23 Mar 2019 Card xxxxxxxxxxxx4237,-211.8,transaction
QKP*EMF Performance Ce Visa Purchase - Receipt 161915 In Robina Date 31 Jan 2019 Card xxxxxxxxxxxx9344,-45.85,transaction
QUEEN ST STORE PL Visa Purchase - Receipt 106367 In MELBOURNE Date 30 Mar 2019 Card xxxxxxxxxxxx4237,-11,transaction
QUEEN ST STORE PL Visa Purchase - Receipt 167968 In MELBOURNE Date 18 Dec 2018 Card xxxxxxxxxxxx4237,-17.48,transaction
QUEENSLAND MUSEUM Visa Purchase - Receipt 149941 In SOUTH BRISBA Date 30 Jun 2019 Card xxxxxxxxxxxx4237,-46,transaction
QUEENSLAND URBAN UTI Visa Purchase - Receipt 176693 In FORTITUDE VA Date 02 Apr 2019 Card xxxxxxxxxxxx1337,-264.77,savings
QUICK EASY CAR WASH GARBUTT QL AUS Card xx9968 Value Date: 16/02/2019,-20.4,transaction
RADISSON RESORT Visa Purchase - Receipt 115633 Foreign Currency Amount: FJD 198.00 In NADI Date 13 Jun 2019 Card xxxxxxxxxxxx4832,-135.74,credit-card
Radley's Metcentre Sydney TAP AND PAY 7745,-11,credit-card
Railway Hotel Beaudes Visa Purchase - Receipt 185884 In Beaudesert Date 09 Aug 2019 Card xxxxxxxxxxxx5999,-50,transaction
RAINBOW CITY PLAY BA HILLCREST EFTPOS Purchase - Receipt 7367 Date 31 Aug 2019 Time 12:38PM Card xxxxxxxxxxxx5999,-5.15,transaction
RAMSON TRADING PTY L Visa Purchase - Receipt 179572 In MELBOURNE Date 06 May 2019 Card xxxxxxxxxxxx4237,-21,transaction
RARE MIDTOWN Visa Purchase - Receipt 113475 In MELBOURNE Date 09 Jan 2019 Card xxxxxxxxxxxx4237,-46,transaction
RASHAYS IPSWICH P/L Visa Purchase - Receipt 187181 In NORTH IPSWIC Date 16 Jan 2019 Card xxxxxxxxxxxx7857,-37,savings
RASOI MASTER Visa Purchase - Receipt 167078 In SOUTHPORT Date 19 Feb 2019 Card xxxxxxxxxxxx9344,-26.85,transaction
rates for Leichhardt BPAY Bill Payment - Receipt 609139 To IPSWICH CITY COUNCIL 471303,-462.6,savings
RAZOR BROS BARBER SH Visa Purchase - Receipt 148761 In YARRABILBA Date 04 Sep 2019 Card xxxxxxxxxxxx5999,-18,transaction
RCT CATERING Visa Purchase - Receipt 148936 In WARRAGAMBA Date 20 Dec 2018 Card xxxxxxxxxxxx3306,-43,transaction
READINGENTERTAINMENT Visa Purchase - Receipt 130601 In SOUTH MELBOU Date 19 Dec 2018 Card xxxxxxxxxxxx7915,-58.4,transaction
REAL FF PTY LTD Visa Purchase - Receipt 176410 In SOUTH MELBOU Date 21 Feb 2019 Card xxxxxxxxxxxx4237,-13.9,transaction
REAL SOLUTION CORPOR Visa Purchase - Receipt 125462 In MANLY Date 01 Jan 2019 Card xxxxxxxxxxxx9344,-15.8,transaction
RESTAURANT SUDA Visa Purchase - Receipt 154234 In MELBOURNE Date 01 Feb 2019 Card xxxxxxxxxxxx0985,-21,transaction
RETSIL TAXI SERVICE Visa Purchase - Receipt 198565 In BERKELEY VAL Date 24 Nov 2018 Card xxxxxxxxxxxx4237,-26.7,transaction
RHUM-BA-LIMITED Visa Purchase - Receipt 146759 Foreign Currency Amount: 0.00 In NADI Date 06 Jun 2019 Card xxxxxxxxxxxx4832,-1456.49,credit-card
ROLLD GATEWAY SYDNEY NS AUS Tap and Pay xx6620 Value Date: 09/10/2018,-10.4,transaction
Ruby Chews POS Visa Purchase - Receipt 119961 In North Ipswic Date 21 May 2019 Card xxxxxxxxxxxx1337,-14.5,savings
RX INTERNATIONAL P/L Visa Purchase - Receipt 147416 In SOUTH BRISBA Date 30 Jun 2019 Card xxxxxxxxxxxx4237,-6,transaction
S&S PENRITH Visa Purchase - Receipt 127098 In PENRITH Date 21 Jun 2019 Card xxxxxxxxxxxx7915,-69.95,transaction
SAHARA GRILL PTY LTD Visa Purchase - Receipt 185427 In MASCOT Date 12 Nov 2018 Card xxxxxxxxxxxx4237,-17,transaction
SMOKEMART - TUGGERAH Visa Purchase - Receipt 165242 In TUGGERAH Date 06 Dec 2018 Card xxxxxxxxxxxx5999,-49.95,transaction
SMP*Flessers Bakery Ca nungra04 EFTPOS Purchase - Receipt 6292 Date 06 May 2019 Time 11:37AM Card xxxxxxxxxxxx5999,-25.1,transaction
SNACKS R US VENDING Visa Purchase - Receipt 139273 In WILLIAMSTOWN Date 20 Feb 2019 Card xxxxxxxxxxxx4237,-2.7,transaction
SP * MYHOUSEAU Visa Purchase - Receipt 103779 In BOTANY Date 22 Oct 2018 Card xxxxxxxxxxxx3306,-239.9,transaction
SPAR EXPRESS UPPER COO Visa Purchase - Receipt 120836 In UPPER COOMER Date 01 Jan 2019 Card xxxxxxxxxxxx4237,-4.98,transaction
SPAR TEXAS Visa Purchase - Receipt 120308 In TEXAS Date 20 Aug 2019 Card xxxxxxxxxxxx1337,-11.59,savings
Specialist Clin Phmcy Visa Purchase - Receipt 179351 In Kingswood Date 29 Jul 2019 Card xxxxxxxxxxxx3306,-45.98,transaction
spider rego BPAY Bill Payment - Receipt 59890 To TMR REG RENEW 48173 8507,-185.8,savings
SPIRIT HOTELS Visa Purchase - Receipt 101516 In SPRINGFIELD Date 06 Sep 2019 Card xxxxxxxxxxxx7857,-16.8,savings
SQ *XPRESSO MOBILE CAF Visa Purchase - Receipt 181212 In Horsley Park Date 15 Apr 2019 Card xxxxxxxxxxxx8240,-4.5,transaction
SRDAN SAVIC Osko Payment to +61-401597520 - Receipt 298244 - Ref Number NOTPROVIDED,-0.12,transaction
SSP HOKKA HOKKA T2 Visa Purchase - Receipt 181359 In MASCOT Date 17 Dec 2018 Card xxxxxxxxxxxx4237,-19.9,transaction
SUPER CHEAP AUTO GARBUTT QL AUS Card xx9968 Value Date: 20/01/2019,-51.98,transaction
Super Value Varietie Brookvale TAP AND PAY 7745,-16.5,credit-card
SUPERCHEAP AUTO BEAU Visa Purchase - Receipt 141445 In BEAUDESERT Date 17 Jun 2019 Card xxxxxxxxxxxx4237,-27.58,transaction
SWAMINARAYAN GROUP E Visa Purchase - Receipt 182011 In IPSWICH Date 31 Oct 2018 Card xxxxxxxxxxxx7857,-32.5,savings
SWEET & SHORT (VIC) Visa Purchase - Receipt 129398 In MELBOURNE Date 14 Dec 2018 Card xxxxxxxxxxxx4237,-12,transaction
Swimmers Internal Transfer - Receipt 641489 Orange One Platinum 0090258056,-80,transaction
Syd Aprt Dom Carp54 Visa Purchase - Receipt 183304 In Sydney Date 07 Jan 2019 Card xxxxxxxxxxxx9315,-9.5,transaction
T and C Lang Hens Toni Taylor Osko Payment to 082778 115477116 - Receipt 490533 - Ref Number NOTPROVIDED,-160,transaction
T Gemmel H Ropata MBaker Osko Payment to 014720 410859897 - Receipt 543014 - Ref Number NOTPROVIDED,-600,transaction
TANGS SPICY HOT POT Visa Purchase - Receipt 199432 In MELBOURNE Date 15 Nov 2018 Card xxxxxxxxxxxx4237,-19.1,transaction
TAPPOO LTD T/A W H S Visa Purchase - Receipt 165995 Foreign Currency Amount: FJD 16.40 In NADI Date 15 Jun 2019 Card xxxxxxxxxxxx3306,-11.2,transaction
TARONGA CONSERVATION S MOSMAN NS AUS Tap and Pay xx6620 Value Date: 14/10/2018,-9,transaction
TARTT PTY LTD Visa Purchase - Receipt 184046 In FORSTER Date 15 Dec 2018 Card xxxxxxxxxxxx7915,-67,transaction
TASDEMIR PTY LTD Visa Purchase - Receipt 110482 In GLENMORE PAR Date 16 Mar 2019 Card xxxxxxxxxxxx7915,-15.5,transaction
Tax n Super Internal Transfer - Receipt 522693 Savings Maximiser 0047832015,-400,transaction
TAXI EPAY AUSTRALIA Visa Purchase - Receipt 161206 In WEST MELBOUR Date 06 Dec 2018 Card xxxxxxxxxxxx4237,-23.02,transaction
TB FOOD SERVICES Visa Purchase - Receipt 129392 In BRISBANE AIR Date 28 Apr 2019 Card xxxxxxxxxxxx4237,-11,transaction
TD BANK Visa Cash Withdrawal - Receipt 178108 Foreign Currency Amount: CAD 153.00 In Vancouver Date 08 Feb 2019 Card xxxxxxxxxxxx9809,-162.95,transaction
TFNSW RAIL MASCOT EFTPOS Purchase - Receipt 114989 Date 31 Dec 2018 Time 8:54AM Card xxxxxxxxxxxx7847,-20,transaction
The Bright Bookshop Visa Purchase - Receipt 172918 In Bright Date 31 Jan 2019 Card xxxxxxxxxxxx7924,-26.99,credit-card
The Cat Clinic Hobart New Town TAP AND PAY 3867,-81,credit-card
TOPLINE HAIRDRESSERS 163617238424,-15,transaction
TOWRADGI BEACH HOTEL Visa Purchase - Receipt 155858 In TOWRADGI Date 18 Jul 2019 Card xxxxxxxxxxxx7915,-28.5,transaction
TPH GROUP PTY LTD MONA VALE AUS Card xx7977 Value Date: 23/01/2020,-6.95,transaction
TRANSPORTMAINRDS Visa Purchase - Receipt 197895 In BRISBANE Date 05 Aug 2019 Card xxxxxxxxxxxx5999,-139.92,transaction
TravelOnline PTY LTD TOCS264519 TAYLOR/G MR/T MRS Osko Payment to 064835 10000915 - Receipt 869264 - Ref Number NOTPROVIDED,-1000,transaction
TZ REDBANK PLAINS PL Visa Purchase - Receipt 136438 In IPSWICH Date 29 Jul 2019 Card xxxxxxxxxxxx7857,-4.8,savings
VANGUARD INVESTMENTS CommBank app BPAY 5 020400528948,-200,transaction
VANTAGE FUELS 6916 Visa Purchase - Receipt 112136 In HEALESVILLE Date 01 Feb 2019 Card xxxxxxxxxxxx9267,-31.15,transaction
VEGAN GOURMET Visa Purchase - Receipt 193295 In INALA Date 09 Aug 2019 Card xxxxxxxxxxxx1337,-34,savings
VENETO STORE PTY LTD Visa Purchase - Receipt 190424 In MELBOURNE Date 06 Feb 2019 Card xxxxxxxxxxxx4237,-14.48,transaction
VESPACIFIC CAFE NARRABEEN AUS Tap and Pay xx6620 Value Date: 13/10/2018,-4,transaction
VETCALL MERMAID WATE Visa Purchase - Receipt 134318 In MERMAID WATE Date 06 Feb 2019 Card xxxxxxxxxxxx9344,-157.36,transaction
VICTORIA RACING CLUB Visa Purchase - Receipt 160892 In FLEMINGTON Date 12 Jan 2019 Card xxxxxxxxxxxx9267,-25,transaction
VILLAGE GOLF AUSTRALIA Visa Purchase - Receipt 106376 In SOUTH YARRA Date 14 Jan 2019 Card xxxxxxxxxxxx9344,-168,transaction
virago sold money Internal Transfer - Receipt 852456 Orange Everyday 0035326002,800,savings
Visa Purchase 03Mar Chemist Warehouse Athelston,-19.77,transaction
Visa Purchase 03May Caltex Carnegie Carnegie,-25,transaction
Visa Purchase 03Nov Jb Hi Fi Westlakes West Lake,-29.92,transaction
Visa Purchase 19Feb Bp East Ballan 6844 Ballan,-5.5,transaction
VW FINANCE Direct Debit - Receipt 122839 00649550,-431.77,transaction
WADALBA NEWSAGENCY Visa Purchase - Receipt 175190 In WADALBA Date 20 Nov 2018 Card xxxxxxxxxxxx5999,-15.75,transaction
WARRAGAMBA WORKERS Visa Purchase - Receipt 148938 In WARRAGAMBA Date 20 Dec 2018 Card xxxxxxxxxxxx3306,-5,transaction
WASBI WARRIORS JET Visa Purchase - Receipt 114080 In BRISBANE AIR Date 14 Jan 2019 Card xxxxxxxxxxxx4237,-9.7,transaction
Wei San Tang Ash Osko Payment to 062475 10110626 - Receipt 710517 - Ref Number NOTPROVIDED,-10,transaction
Wendy Brad Fiji Cruise Internal Transfer - Receipt 748128 Savings Maximiser 0082000232,-277,transaction
WENDY'S - TUGGERAH Visa Purchase - Receipt 158910 In TUGGERAH Date 18 Nov 2018 Card xxxxxxxxxxxx5999,-20.4,transaction
WERRINGTON CELLARS Visa Purchase - Receipt 192689 In WERRINGTON Date 24 Dec 2018 Card xxxxxxxxxxxx8240,-16,transaction
Western Suburbs Taxation Service Toni Taylor Osko Payment to 082286 692488683 - Receipt 253963 - Ref Number NOTPROVIDED,-160,transaction
WH SMITH AUSTRALIA Visa Purchase - Receipt 191636 In WOOLLOOMOOLO Date 15 Apr 2019 Card xxxxxxxxxxxx4237,-6.99,transaction
WHARF Visa Purchase - Receipt 104899 In MELBOURNE Date 22 Jan 2019 Card xxxxxxxxxxxx0985,-5,transaction
Whitehart Visa Purchase - Receipt 101990 In Melbourne Date 01 Feb 2019 Card xxxxxxxxxxxx0985,-28,transaction
WILD CARDS&GIFTS PAC Visa Purchase - Receipt 154506 In BROADBEACH Date 14 Feb 2019 Card xxxxxxxxxxxx2131,-10.49,transaction
"Withdrawal - Non BBL ATM, DURAL CALTEX DURAL",-100,transaction
Wona Sushi Visa Purchase - Receipt 133392 In Annerley Date 14 Apr 2019 Card xxxxxxxxxxxx1337,-8.4,savings
WONDERBAO PTY LTD Visa Purchase - Receipt 127725 In MELBOURNE Date 20 Mar 2019 Card xxxxxxxxxxxx4237,-14.4,transaction
WOODENBONG DRIVEWAY Visa Purchase - Receipt 136315 In WOODENBONG Date 23 Jan 2019 Card xxxxxxxxxxxx1337,-46.71,savings
Woodhill State School PC Assoc UTIERA Osko Payment to 633108 146031984 - Receipt 729760 - Ref Number NOTPROVIDED,-116,transaction
WOODMAN BEENLEIGH PT Visa Purchase - Receipt 159373 In JIMBOOMBA Date 08 Dec 2018 Card xxxxxxxxxxxx4237,-20.98,transaction
WORONGARY COFFEE Visa Purchase - Receipt 156604 In WORONGARY Date 03 Mar 2019 Card xxxxxxxxxxxx5999,-21.75,transaction
WST MORETN HOS & HLTH Visa Purchase - Receipt 113189 In IPSWICH Date 05 Mar 2019 Card xxxxxxxxxxxx7857,-30,savings
YD PTY LTD 407 Visa Purchase - Receipt 161917 In BIGGERA WATE Date 30 Jan 2019 Card xxxxxxxxxxxx9344,-149.99,transaction
YEES COLD STORAGE SE Visa Purchase - Receipt 151805 Foreign Currency Amount: FJD 44.70 In NADI Date 05 Jun 2019 Card xxxxxxxxxxxx3306,-30.3,transaction
YELLOWCAB AUS 13192 BRISBANE Q EFTPOS Purchase - Receipt 4752 Date 22 Jan 2019 Time 4:16PM Card xxxxxxxxxxxx5999,-34.76,transaction
YESS ATM Visa Cash Withdrawal - Receipt 175250 Foreign Currency Amount: FJD 515.00 In NADI FIJI Date 09 Jun 2019 Card xxxxxxxxxxxx3306,-349.32,transaction
YOU CAME AGAIN PL Visa Purchase - Receipt 128910 In WEST END Date 06 Jul 2019 Card xxxxxxxxxxxx1337,-33,savings
YOU CAN DANCE PTY LT Visa Purchase - Receipt 104492 In EMU HEIGHTS Date 03 Aug 2019 Card xxxxxxxxxxxx3306,-35,transaction
Zali Felicity presents Internal Transfer - Receipt 354362 Orange Everyday 0031265789,-47.4,transaction
ZAPVARIETY GLNMRE PK Visa Purchase - Receipt 188212 In GLENMORE PAR Date 10 Aug 2019 Card xxxxxxxxxxxx7915,-43.45,transaction
ZHANG PTY LTD NARRABEEN AUS Tap and Pay xx6620 Value Date: 30/09/2018,-29.1,transaction
ZHAOYANG AUSTRALIA Visa Purchase - Receipt 191176 In MELBOURNE Date 15 Nov 2018 Card xxxxxxxxxxxx4237,-12.3,transaction
ZING POP CULTURE Visa Purchase - Receipt 194845 In SPRINGFIELD Date 27 Jun 2019 Card xxxxxxxxxxxx7857,-18,savings
ZONE BOWLING MILSONS P Visa Purchase - Receipt 103508 In MILSONS POIN Date 13 Feb 2019 Card xxxxxxxxxxxx7915,-93.6,transaction
ZOUKI AT RAYMOND TERRA Visa Purchase - Receipt 150917 In SOUTH BRISBA Date 29 Oct 2018 Card xxxxxxxxxxxx9772,-4,savings